S_USAFire_FireshedReg_FireshedOBJECTID,S_USAFire_FireshedReg_FireshedAREA_HA,S_USAFire_FireshedReg_FireshedFIRESHED_ID,S_USAFire_FireshedReg_FireshedFIRESHED_NAME,S_USAFire_FireshedReg_FireshedFIRESHED_CODE,S_USAFire_FireshedReg_FireshedFIRESHED_STATE,S_USAFire_FireshedReg_FireshedNOPAS,S_USAFire_FireshedReg_Fireshed_ExpOBJECTID,S_USAFire_FireshedReg_Fireshed_ExpFSHED_ID,S_USAFire_FireshedReg_Fireshed_ExpEXP_TOTAL,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_PROTECTED,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_PROTECTED,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGED,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGED,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_FOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_FOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_NONFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_NONFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_CONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_CONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGEDFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGEDFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGEDCONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGEDCONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_NONCONIFER_HIHAZ,S_USAFire_FireshedReg_Fireshed_ExpDIST_VS,S_USAFire_FireshedReg_Fireshed_ExpCRISIS_STRATEGY,S_USAFire_FireshedReg_Fireshed_ExpKEY_PERFORMANCE_INDICATOR,S_USAFire_FireshedReg_Fireshed_ExpNATIONAL_USFS_RANK,S_USAFire_FireshedReg_Fireshed_ExpNATIONAL_ALL_LAND_RANK,S_USAFire_FireshedReg_Fireshed_ExpREGIONAL_USFS_RANK,S_USAFire_FireshedReg_Fireshed_ExpREGIONAL_ALL_LAND_RANK,S_USAFire_FireshedReg_Fireshed_ExpSTART_DATE,S_USAFire_FireshedReg_Fireshed_ExpEND_DATE
6616,80715,6541,"Watson, Arkansas",watson_ar,AR,8,14208,6541,0.00533257,,0.00533257,,1.33e-06,,0.00533124,,,,0.00533257,,,,,,,,2021,,,,7390,,1912,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6617,87947,6542,"Charleston, South Carolina",charleston_sc,SC,9,14209,6542,12.95122559,,12.95122559,,0.03429138,,12.91693421,,1.15676896,,11.79445663,,,,1.15466388,,,,2021,,,,1124,,555,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6618,85380,6543,"Davisboro, Georgia",davisboro_ga,GA,8,14210,6543,0.10613926,,0.10613926,,0.00050927,,0.10562999,,0.06482657,,0.04131269,,,,0.06437993,,,,2021,,,,3183,,1417,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6619,100077,6544,"Newnan, Georgia",newnan_ga,GA,10,14211,6544,1.27004679,,1.27004678,,0.00165105,,1.26839573,,0.79753171,,0.47251508,,,,0.79588066,,,,2021,,,,1361,,674,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6620,153148,6545,"Wichita Falls, Texas",wichita_falls_tx,TX,15,14212,6545,32.57215352,,32.57215352,,,,32.57215352,,,,32.57215352,,,,,,,,2021,,,,7391,,1913,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6621,96228,6546,"Berry, Alabama",berry_al,AL,10,14213,6546,0.90150273,,0.90150273,,0.01786159,,0.88364114,,0.6917445,,0.20975823,,,,0.674979,,,,2021,,,,1478,,728,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6622,91912,6547,"Appleton, South Carolina",appleton_sc,SC,10,14214,6547,0.24399878,,0.24399878,,0.00461004,,0.23938874,,0.04267578,,0.201323,,,,0.04128071,,,,2021,,,,3473,,1489,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6623,134019,6548,"Prescott, Arkansas",prescott_ar,AR,14,14215,6548,0.86928961,,0.86928961,,0.00706929,,0.86222033,,0.41195021,,0.4573394,,,,0.40766598,,,,2021,,,,1824,,891,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6624,128421,6549,"Duck Hill, Mississippi",duck_hill_ms,MS,12,14216,6549,0.38610214,0.00178663,0.38431551,,3.726e-05,0.00178663,0.38427825,0.0017375,0.24066901,4.913e-05,0.1436465,,,0.0017375,0.24063175,,,,2021,,,1437,2226,270,1086,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6625,56687,6550,"Whiteface, Texas",whiteface_tx,TX,6,14217,6550,0.9075,,0.9075,,,,0.9075,,,,0.9075,,,,,,,,2021,,,,7392,,1914,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
