S_USAFire_FireshedReg_FireshedOBJECTID,S_USAFire_FireshedReg_FireshedAREA_HA,S_USAFire_FireshedReg_FireshedFIRESHED_ID,S_USAFire_FireshedReg_FireshedFIRESHED_NAME,S_USAFire_FireshedReg_FireshedFIRESHED_CODE,S_USAFire_FireshedReg_FireshedFIRESHED_STATE,S_USAFire_FireshedReg_FireshedNOPAS,S_USAFire_FireshedReg_Fireshed_ExpOBJECTID,S_USAFire_FireshedReg_Fireshed_ExpFSHED_ID,S_USAFire_FireshedReg_Fireshed_ExpEXP_TOTAL,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_PROTECTED,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_PROTECTED,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGED,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGED,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_FOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_FOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_NONFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_NONFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_CONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_CONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGEDFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGEDFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGEDCONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGEDCONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_NONCONIFER_HIHAZ,S_USAFire_FireshedReg_Fireshed_ExpDIST_VS,S_USAFire_FireshedReg_Fireshed_ExpCRISIS_STRATEGY,S_USAFire_FireshedReg_Fireshed_ExpKEY_PERFORMANCE_INDICATOR,S_USAFire_FireshedReg_Fireshed_ExpNATIONAL_USFS_RANK,S_USAFire_FireshedReg_Fireshed_ExpNATIONAL_ALL_LAND_RANK,S_USAFire_FireshedReg_Fireshed_ExpREGIONAL_USFS_RANK,S_USAFire_FireshedReg_Fireshed_ExpREGIONAL_ALL_LAND_RANK,S_USAFire_FireshedReg_Fireshed_ExpSTART_DATE,S_USAFire_FireshedReg_Fireshed_ExpEND_DATE
1,59953,1,"Lynden, Washington",lynden_wa,WA,8,7689,1,0.03677465,,0.03677465,,4.162e-05,,0.03673303,,0.00142141,,0.03535324,,0.00134745,,0.00142084,,0.00134745,,2021,,,,4664,,294,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
2,54588,2,"Friday Harbor, Washington",friday_harbor_wa,WA,10,7690,2,0.05244621,,0.05244621,,0.00173727,,0.05070895,,0.03181367,,0.02063254,,,,0.03056533,,,,2021,,,,3637,,235,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
3,116640,3,"Bellingham, Washington",bellingham_wa,WA,10,7691,3,0.12837113,,0.12837113,,0.00045068,,0.12792045,,0.08353441,,0.04483672,,0.08317314,,0.08321617,,0.08285489,,2021,,,,3011,,202,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4,58787,4,"Classet, Washington",classet_wa,WA,5,7692,4,0.00245036,,0.00245036,,9.29e-06,,0.00244107,,0.00161557,,0.00083479,,0.00126936,,0.00160746,,0.00126203,,2021,,,,4630,,291,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
5,88063,5,"Glacier, Washington",glacier_wa,WA,9,7693,5,0.02218535,0.01780331,0.00438203,0.00294206,6.316e-05,0.01486124,0.00431888,0.0177509,0.00425743,5.241e-05,0.0001246,0.0177509,0.00425743,0.01486124,0.00419427,0.01486124,0.00419427,,2021,,,1165,3871,156,245,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6,84564,6,"Ruby, Washington",ruby_wa,WA,8,7694,6,0.01166,0.00094598,0.01071402,0.00094598,0.01071402,,0,0.00092241,0.0093286,2.357e-05,0.00138542,0.00092241,0.0093286,,,,,,2021,,,,5215,,321,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
7,109875,7,"Mount Shuksan, Washington",mount_shuksan_wa,WA,10,7695,7,0.01928,0.01780978,0.00147022,0,0.00147022,0.01780978,0,0.01769703,0.00094194,0.00011275,0.00052827,0.01769703,0.00094194,0.01769703,0,0.01769703,0,,2021,,,1135,3895,152,247,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
8,81881,8,"Forks, Washington",forks_wa,WA,8,7696,8,0.00871861,0.00012377,0.00859483,,0.00051112,0.00012377,0.00808371,0.00012377,0.0045095,,0.00408534,0.00012377,0.00443945,0.00012377,0.00402861,0.00012377,0.0039586,,2021,,,1636,4408,211,281,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
9,116640,9,"Sedro-Woolley, Washington",sedro_woolley_wa,WA,12,7697,9,0.13948432,0.0012055,0.13827881,0.00117114,0.00474949,3.437e-05,0.13352933,0.00059947,0.08792332,0.00060603,0.05035549,0.00050933,0.08508343,3.437e-05,0.08755233,3.437e-05,0.0847921,,2021,,,1671,2969,216,200,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
10,114890,10,"Anacortes Crossing, Washington",anacortes_crossing_wa,WA,11,7698,10,0.1389701,0.13897009,0,0.13891168,0,5.841e-05,0,0.0195286,0,0.11944149,0,0.0195286,0,1.373e-05,0,1.373e-05,0,,2021,,,1685,5148,219,316,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
11,86314,11,"Arnold Peak, Washington",arnold_peak_wa,WA,8,7699,11,0.95830696,0.24011139,0.71819558,0.12816609,0.03312792,0.11194528,0.68506766,0.14520175,0.51902399,0.09490962,0.19917159,0.14520175,0.51901046,0.0724872,0.50268639,0.0724872,0.50267286,0.04922938,2021,,,834,1591,125,115,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
12,112908,12,"Vanderpool Crossing, Washington",vanderpool_crossing_wa,WA,11,7700,12,0.25932328,0.25932328,,0.21400865,,0.04531463,,0.12134172,,0.13798156,,0.12134172,,0.03088465,,0.03088465,,,2021,,,1021,3632,143,234,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
13,116523,13,"Bayview Mobile Park, Washington",bayview_mobile_park_wa,WA,11,7701,13,0.01994027,0.00364117,0.01629911,0,0.00113026,0.00364117,0.01516885,0.00364114,0.01075766,3e-08,0.00554145,0.00364114,0.01021949,0.00363453,0.00962742,0.00364114,0.00908924,,2021,,,1367,4009,179,258,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
14,125155,14,"Concrete, Washington",concrete_wa,WA,12,7702,14,0.31446703,0.07056132,0.24390572,0.05574596,0.03941746,0.01481534,0.20448826,0.06960596,0.20988409,0.00095536,0.03402163,0.06960596,0.20985418,0.01478503,0.17976125,0.01478503,0.17975715,,2021,,,1167,2397,157,159,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
15,83631,15,"Diablo, Washington",diablo_wa,WA,8,7703,15,0.0348004,0.01318101,0.02161939,0.01150748,0.02137512,0.00167354,0.00024426,0.01257338,0.0187847,0.00060762,0.00283469,0.01257338,0.0187847,0.00167354,0.00014368,0.00167354,0.00014368,,2021,,,1442,4598,190,290,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
16,119556,16,"Oroville, Washington",oroville_wa,WA,13,7704,16,35.61500785,1.62251462,33.99249323,,1.88068453,1.62251462,32.1118087,1.24605275,5.77254306,0.37646187,28.21995017,1.24605275,5.77254306,1.24605275,5.6096437,1.24605275,5.6096437,2.95520797,2021,,,226,318,31,26,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
17,91329,17,"Port Angeles, Washington",port_angeles_wa,WA,9,7705,17,0.26795725,0.00500285,0.26295438,0.00296211,0.01073359,0.00204075,0.25222079,0.00500285,0.16385946,,0.09909492,0.00500285,0.16157045,0.00204075,0.15341145,0.00204075,0.15137028,,2021,,,1423,2566,187,172,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
18,102760,18,"Hoh, Washington",hoh_wa,WA,10,7706,18,0.00863873,0.00022681,0.00841193,,0.00134093,0.00022681,0.007071,0.00021975,0.00558013,7.06e-06,0.00283179,0.00021975,0.00557973,0.00021975,0.00472557,0.00021975,0.00472557,,2021,,,1611,4350,207,279,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
19,111974,19,"Bear Mountain, Washington",bear_mountain_wa,WA,10,7707,19,12.66517742,8.89850766,3.76666975,1.7884951,2.11878656,7.11001257,1.6478832,2.77146222,1.4171605,6.12704545,2.34950926,2.77146222,1.4171605,2.51928841,0.97066654,2.51928841,0.97066654,0.24248459,2021,USFS-Only,,140,563,17,44,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
20,115707,20,"Stehekin, Washington",stehekin_wa,WA,11,7708,20,0.49850705,0.16047859,0.33802845,0.16047854,0.33320326,6e-08,0.00482519,0.11706675,0.25340831,0.04341185,0.08462014,0.11706675,0.25340831,6e-08,0.00401884,6e-08,0.00401884,,2021,,,1713,4417,222,283,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
21,102410,21,"Gilbert, Washington",gilbert_wa,WA,10,7709,21,4.77897397,3.59758481,1.18138917,0.38112952,0.038998,3.21645529,1.14239117,2.84439019,0.19852817,0.75319461,0.982861,2.84439019,0.19852817,2.65299879,0.17970616,2.65299879,0.17970616,0.00380044,2021,USFS-Only,,138,652,16,55,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
22,139501,22,"Anglin, Washington",anglin_wa,WA,14,7710,22,24.04871882,5.62476022,18.42395861,0.14492069,0.22068313,5.47983954,18.20327548,5.02497325,3.96716947,0.59978694,14.45678914,5.02497325,3.96716947,4.88005256,3.954505,4.88005256,3.954505,2.36817547,2021,USFS-Only,,90,249,12,23,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
23,115940,23,"Republic, Washington",republic_wa,WA,11,7711,23,24.4819868,4.61374998,19.86823683,0.87910209,0.02581038,3.73464788,19.84242645,4.32279903,9.17835908,0.29095093,10.68987775,4.32279903,9.17835908,3.50294171,9.1740456,3.50294171,9.1740456,2.16185343,2021,USFS-Only,,116,170,13,15,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
24,101360,24,"Port Townsend, Washington",port_townsend_wa,WA,12,7712,24,0.4057005,0.00358365,0.40211684,7.142e-05,0.00229133,0.00351222,0.39982551,0.00358365,0.21255834,,0.1895585,0.00358365,0.20582681,0.00351222,0.21189611,0.00351222,0.20516458,,2021,,,1370,2318,180,156,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
25,121772,25,"Marysville, Washington",marysville_wa,WA,13,7713,25,0.32442639,0.00012953,0.32429686,,0.00101352,0.00012953,0.32328335,7.169e-05,0.17163146,5.783e-05,0.15266541,7.169e-05,0.16868826,7.169e-05,0.17163146,7.169e-05,0.16868826,,2021,,,1652,2487,213,165,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
26,92845,26,"Baldy, Washington",baldy_wa,WA,9,7714,26,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,2021,,,1716,5216,223,322,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
27,94012,27,"Northport, Washington",northport_wa,WA,9,7715,27,2.84970093,0.1948024,2.65489853,,,0.1948024,2.65489853,0.18930344,1.94088275,0.00549896,0.71401578,0.18930344,1.93950403,0.18930344,1.94088275,0.18930344,1.93950403,0.01240152,2021,,,605,775,96,63,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
28,118040,28,"Bedal, Washington",bedal_wa,WA,12,7716,28,0.07021222,0.05314318,0.01706904,0.03728774,0.00158219,0.01585544,0.01548685,0.05292531,0.01682226,0.00021787,0.00024679,0.05292531,0.01682226,0.01585544,0.01524007,0.01585544,0.01524007,,2021,,,1152,3629,154,233,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
29,80482,29,"Omak, Washington",omak_wa,WA,8,7717,29,17.67457716,0.06802534,17.60655182,,0.25577006,0.06802534,17.35078177,0.06802534,1.3991124,,16.20743942,0.06802534,1.3991124,0.06802534,1.39171645,0.06802534,1.39171645,4.87669157,2021,,,851,973,127,74,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
30,122122,30,"Barstow, Washington",barstow_wa,WA,12,7718,30,2.98395399,1.445225,1.53872896,0.13881067,,1.30641433,1.53872896,1.36412047,0.85977869,0.08110456,0.67895028,1.36031882,0.85977869,1.24719183,0.85977869,1.24339018,0.85977869,0.07025095,2021,,,225,784,30,64,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
31,124338,31,"Olympic Hot Springs, Washington",olympic_hot_springs_wa,WA,12,7719,31,0.0213574,0,0.0213574,0,0.00403779,0,0.01731962,0,0.0178995,0,0.0034579,0,0.0178995,0,0.01554757,0,0.01554757,,2021,,,1717,3949,224,253,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
32,108708,32,"Darrington, Washington",darrington_wa,WA,10,7720,32,0.17580043,0.03750523,0.1382952,0.01389593,0.00733744,0.02360931,0.13095776,0.037241,0.11107519,0.00026423,0.02722001,0.037241,0.11107519,0.02354922,0.10744544,0.02354922,0.10744544,,2021,,,1079,2673,148,182,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
33,87830,33,"Metaline Falls, Washington",metaline_falls_wa,WA,8,7721,33,0.8915795,0.20317833,0.68840117,0.02096293,,0.18221539,0.68840117,0.2019307,0.53858853,0.00124762,0.1498126,0.20193057,0.53858748,0.18185278,0.53858853,0.18185265,0.53858748,0.01112502,2021,,,617,1439,98,103,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
34,88063,34,"Twisp, Washington",twisp_wa,WA,9,7722,34,45.09153209,23.91392234,21.17760975,0.23991822,3.39045461,23.67400411,17.78715515,14.72089388,2.53329026,9.19302845,18.6443195,14.72089388,2.53329026,14.60902201,2.4684774,14.60902201,2.4684774,5.0677053,2021,All-Lands,,20,131,2,11,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
35,91562,35,"Disautel, Washington",disautel_wa,WA,9,7723,35,3.38829373,1.32726027,2.06103346,,,1.32726027,2.06103346,1.24297432,1.22313813,0.08428595,0.83789533,1.24297432,1.22313813,1.24297432,1.22313813,1.24297432,1.22313813,0.16558968,2021,,,227,719,32,59,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
36,86197,36,"Clearwater, Washington",clearwater_wa,WA,8,7724,36,0.00217671,0.00027755,0.00189916,,0.00013633,0.00027755,0.00176284,0.00026614,0.00128809,1.141e-05,0.00061107,0.00026614,0.00128809,0.00026614,0.00116265,0.00026614,0.00116265,,2021,,,1602,4663,206,293,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
37,136702,37,"Blacktail Mountain, Idaho",blacktail_mountain_id,ID,13,7725,37,0.04105046,0.03417864,0.00687183,0.0041096,,0.03006904,0.00687183,0.03383324,0.00649475,0.00034541,0.00037708,0.03383324,0.00649475,0.02977052,0.00649475,0.02977052,0.00649475,,2021,,,1034,3545,136,199,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
38,51205,38,"American Mountain, Montana",american_mountain_mt,MT,6,7726,38,0.26845933,0.24840636,0.02005299,0.0315201,,0.21688625,0.02005299,0.2483401,0.01082171,6.626e-05,0.00923128,0.2483401,0.01082171,0.21682873,0.01082171,0.21682873,0.01082171,,2021,,,576,2279,82,127,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
39,93779,39,"Capitol Peak, Washington",capitol_peak_wa,WA,9,7727,39,0.00891636,0.00738444,0.00153192,0.0071755,0.00109209,0.00020894,0.00043984,0.00691104,0.00114249,0.0004734,0.00038943,0.00691104,0.00114249,0.00020839,5.802e-05,0.00020839,5.802e-05,,2021,,,1615,4937,209,307,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
40,79548,40,"Addie, Idaho",addie_id,ID,8,7728,40,1.605805,0.9059576,0.69984739,0.00409557,0.00153133,0.90186204,0.69831607,0.86251098,0.32547088,0.04344663,0.37437651,0.86249591,0.3251297,0.85841542,0.32532899,0.85841542,0.3249878,0.00340917,2021,,,276,1103,42,66,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
41,96578,41,"Aeneas, Washington",aeneas_wa,WA,9,7729,41,7.8255783,2.86692371,4.9586546,0.24681643,,2.62010728,4.9586546,2.69312894,2.61061873,0.17379477,2.34803586,2.69312894,2.61061873,2.44674643,2.61061873,2.44674643,2.61061873,0.60689264,2021,USFS-Only,,148,411,20,34,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
42,125388,42,"Colville, Washington",colville_wa,WA,12,7730,42,19.45287028,1.19344614,18.25942415,0.43617407,0.23330068,0.75727207,18.02612347,1.09306671,11.64365502,0.10037943,6.61576913,1.0920951,11.64081762,0.70886409,11.55808253,0.70789248,11.55524513,0.38759785,2021,,,312,180,53,16,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
43,85264,43,"Ayock, Washington",ayock_wa,WA,9,7731,43,0.05549061,0.00732063,0.04816998,0.00055771,0.0004179,0.00676292,0.04775209,0.0072895,0.03615722,3.113e-05,0.01201276,0.0072895,0.03615722,0.00675957,0.03615705,0.00675957,0.03615705,,2021,,,1275,3443,167,224,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
44,113841,44,"Lake Stevens, Washington",lake_stevens_wa,WA,11,7732,44,0.52401978,0.00668318,0.51733659,0.00185753,0.01512464,0.00482565,0.50221195,0.00630191,0.28131379,0.00038127,0.2360228,0.00630191,0.27894076,0.00444438,0.27241182,0.00444438,0.27029491,,2021,,,1334,2139,175,145,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
45,114307,45,"Harvey, Washington",harvey_wa,WA,11,7733,45,3.78043953,1.88006982,1.90036971,0.67651003,0.00141964,1.20355979,1.89895007,1.80330884,1.28277596,0.07676099,0.61759374,1.80330884,1.28277596,1.16184349,1.28277596,1.16184349,1.28277596,0.15735553,2021,,,237,722,35,60,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
46,115240,46,"Seattle, Washington",seattle_wa,WA,11,7734,46,0.11012954,,0.11012954,,0.00079125,,0.10933829,,0.01038062,,0.09974892,,0.01014129,,0.01038062,,0.01014129,,2021,,,,4122,,265,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
47,102293,47,"Bremerton, Washington",bremerton_wa,WA,21,7735,47,0.37265714,0.00114254,0.3715146,0.00024816,0.00820703,0.00089438,0.36330757,0.00114254,0.25030241,,0.12121219,0.00114254,0.21356039,0.00089438,0.24219164,0.00089438,0.2061663,,2021,,,1509,2220,195,148,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
48,115707,48,"Trinity, Washington",trinity_wa,WA,11,7736,48,0.74513262,0.70458469,0.04054792,0.41354333,0.01623168,0.29104136,0.02431624,0.66101823,0.01623506,0.04356645,0.02431286,0.66101823,0.01623506,0.27129262,0.01313558,0.27129262,0.01313558,0.00652739,2021,,,521,2109,89,141,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
49,117107,49,"Galena, Washington",galena_wa,WA,11,7737,49,0.20427581,0.17144378,0.03283202,0.12196567,0.00816989,0.04947814,0.02466213,0.16782126,0.03198949,0.00362252,0.00084253,0.16782126,0.03198949,0.04874508,0.02428231,0.04874508,0.02428231,,2021,,,923,3101,134,206,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
50,122005,50,"Okanogan, Washington",okanogan_wa,WA,12,7738,50,32.80673293,3.71992875,29.08680417,,1.15545701,3.71992875,27.93134716,1.10607206,1.83458094,2.61385669,27.25222323,1.10607206,1.83458094,1.10607206,1.83458094,1.10607206,1.83458094,7.15566057,2021,,,241,635,37,51,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
51,110458,51,"Ione, Washington",ione_wa,WA,11,7739,51,0.90333562,0.17790093,0.72543467,0.00777933,0.39151023,0.17012157,0.33392444,0.17286349,0.66504057,0.00503744,0.0603941,0.17286349,0.66492762,0.16508412,0.27546108,0.16508412,0.27534812,0.00147342,2021,,,645,1762,102,129,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
52,90863,52,"Dodge Summit, Montana",dodge_summit_mt,MT,9,7740,52,1.87342406,0.93034755,0.94307652,0.01800002,0.01289906,0.91234753,0.93017746,0.69487521,0.13976468,0.23547232,0.80331184,0.69487521,0.13976468,0.68124541,0.13976468,0.68124541,0.13976468,0.00296674,2021,,,319,1346,50,76,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
53,121306,53,"Abandon Mountain, Idaho",abandon_mountain_id,ID,11,7741,53,0.0648519,0.02359966,0.04125224,0.00289444,0.00119198,0.02070522,0.04006026,0.02286064,0.03495314,0.00073902,0.0062991,0.02286063,0.03495174,0.01997632,0.03474347,0.01997632,0.03474207,0.00030472,2021,,,1111,3291,143,183,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
54,150932,54,"Domke Lake Resort, Washington",domke_lake_resort_wa,WA,14,7742,54,2.213725,2.19222526,0.02149975,1.27480583,0.00323686,0.91741942,0.01826289,1.41285013,0.00263614,0.77937513,0.01886361,1.41285013,0.00263614,0.4394937,6.239e-05,0.4394937,6.239e-05,4.718e-05,2021,,,398,1765,70,130,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
55,93895,55,"Amanda Park, Washington",amanda_park_wa,WA,9,7743,55,0.0158235,0.00902918,0.00679431,0.0058674,0.00283047,0.00316179,0.00396384,0.00892938,0.00467057,9.98e-05,0.00212374,0.00892938,0.00467057,0.00314457,0.00235207,0.00314457,0.00235207,,2021,,,1381,4319,181,277,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
56,82231,56,"Bonners Ferry, Idaho",bonners_ferry_id,ID,8,7744,56,5.04951037,2.20023337,2.84927699,0.39824881,0.02061181,1.80198457,2.82866518,2.18920713,1.69834971,0.01102624,1.15092728,2.18920713,1.69834971,1.79095833,1.68816249,1.79095833,1.68816249,0.04303965,2021,USFS-Only,,186,564,29,33,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
57,93895,57,"Brandts Landing, Washington",brandts_landing_wa,WA,9,7745,57,1.89106913,,1.89106913,,,,1.89106913,,,,1.89106913,,,,,,,0.1833229,2021,,,,5217,,323,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
58,82581,58,"Sylvanite, Montana",sylvanite_mt,MT,8,7746,58,1.88690345,1.72608885,0.1608146,0.43540917,,1.2906797,0.1608146,1.67149981,0.09999772,0.05458905,0.06081687,1.67149981,0.09999772,1.23964216,0.09999772,1.23964216,0.09999772,0.00366498,2021,,,228,1018,35,60,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
59,116873,59,"Bridgeport, Washington",bridgeport_wa,WA,11,7747,59,22.08192307,6.81451245,15.26741063,1.16611148,0.68883023,5.64840097,14.5785804,0.03808098,0.34797424,6.77643147,14.91943639,0.03808098,0.34797424,0.03808098,0.34248081,0.03808098,0.34248081,1.39555809,2021,,,974,1884,139,137,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
60,141718,60,"Coolin, Idaho",coolin_id,ID,13,7748,60,0.71885119,0.26091244,0.45793875,0.01463247,0.00239789,0.24627998,0.45554086,0.25752092,0.38954049,0.00339151,0.06839827,0.25751878,0.3895403,0.24288846,0.38942088,0.24288846,0.38942069,2.028e-05,2021,,,548,1524,79,85,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
61,124572,61,"Chiwaukum, Washington",chiwaukum_wa,WA,13,7749,61,80.51768092,51.17599063,29.34169029,8.66854604,0.08439703,42.50744461,29.25729326,46.42709358,17.78841345,4.74889703,11.55327684,46.42709358,17.77844216,39.79850232,17.78759759,39.79850232,17.77762631,8.12857442,2021,All-Lands,,5,20,1,1,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
62,136352,62,"Red Rock Point, Montana",red_rock_point_mt,MT,13,7750,62,0.09764124,,0.09764124,,0.08852781,,0.00911342,,0.07573292,,0.02190832,,0.07573292,,0.00707529,,0.00707529,,2021,,,,4246,,244,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
63,116757,63,"Skykomish, Washington",skykomish_wa,WA,12,7751,63,0.33622731,0.17898431,0.15724299,0.01493249,0.02923509,0.16405183,0.1280079,0.17825857,0.13838905,0.00072575,0.01885395,0.17825857,0.13838905,0.16340321,0.11601457,0.16340321,0.11601457,2e-08,2021,,,650,2130,103,144,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
64,85847,64,"Chewelah, Washington",chewelah_wa,WA,8,7752,64,16.55267627,0.3869561,16.16572017,,0.65724612,0.3869561,15.50847405,0.37678396,10.03348101,0.01017214,6.13223917,0.37678396,10.03165996,0.37678396,9.5018603,0.37678396,9.50003925,0.45228334,2021,,,425,226,74,21,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
65,101593,65,"Bissel, Washington",bissel_wa,WA,10,7753,65,12.27712049,,12.27712049,,,,12.27712049,,8.00576456,,4.27135593,,8.00576456,,8.00576456,,8.00576456,0.64645808,2021,,,,277,,24,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
66,76982,66,"Burns, Idaho",burns_id,ID,8,7754,66,4.61845041,0.73429557,3.88415484,0.04284156,0.0543407,0.691454,3.82981414,0.72745261,2.71875035,0.00684296,1.16540449,0.72745261,2.71875035,0.68461103,2.70590179,0.68461103,2.70590179,0.10611488,2021,,,316,569,49,34,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
67,132620,67,"Dayton, Washington",dayton_wa,WA,14,7755,67,0.14548266,0.00588295,0.1395997,0.00053966,0.0001691,0.00534329,0.13943057,0.00586283,0.06955763,2.01e-05,0.07004207,0.00586283,0.06955763,0.00534329,0.06955763,0.00534329,0.06955763,,2021,,,1301,3086,170,205,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
68,113491,68,"Renton, Washington",renton_wa,WA,11,7756,68,0.92981894,0.00541548,0.92440346,,0.23805591,0.00541548,0.68634755,0.00504887,0.66483234,0.00036661,0.25957112,0.00504887,0.66357494,0.00504887,0.43629414,0.00504887,0.43506168,,2021,,,1311,1759,171,128,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
69,111158,69,"Cusick, Washington",cusick_wa,WA,11,7757,69,2.1456931,0.35032515,1.79536794,,0.05271156,0.35032515,1.74265638,0.34974429,1.44791441,0.00058086,0.34745352,0.34974429,1.44791441,0.34974429,1.41472478,0.34974429,1.41472478,0.00170544,2021,,,451,874,79,69,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
70,112908,70,"Coulee Dam, Washington",coulee_dam_wa,WA,11,7758,70,11.31329517,,11.31329517,,0.00462487,,11.3086703,,0.60422575,,10.70906942,,0.60422575,,0.60422575,,0.60422575,0.7142705,2021,,,,1560,,114,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
71,120722,71,"Port Orchard, Washington",port_orchard_wa,WA,15,7759,71,0.49331805,,0.49331805,,0.00697856,,0.48633949,,0.3481375,,0.14518054,,0.33963807,,0.34292957,,0.33490273,,2021,,,,1977,,139,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
72,145450,72,"Eureka, Montana",eureka_mt,MT,14,7760,72,15.77823439,5.98027603,9.79795837,0.83132542,0.03944531,5.14895061,9.75851306,5.66425818,5.80158008,0.31601787,3.9963783,5.64431874,5.77551993,4.84258901,5.76213477,4.82264957,5.7374258,0.14140574,2021,USFS-Only,,91,218,9,11,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
